instructor,time,location,maxcap,srmajor,jrmajor,available,grad,srnon,jrnon,so,fr,ispoi,section,code,sem,division,gradingmode,prereq,fulfills,title,iscross,description
"Kadalah,Mohammed",.MTWRF. 09:00AM-09:50AM;,FISK101;,18,0,0,-1,NA,0,0,9,9,FALSE,01,ARAB101,Fall2015,HA LANG,Graded,None,None,Elementary Arabic I,FALSE,"This course is a first-year elementary I course in modern standard Arabic (MSA) that will introduce students to the basic skills of reading, writing, speaking, and listening. In this level, the class will focus on speaking as an effective way of learning (speak it to learn it). Students will learn Arabic letters and their sounds, write and create basic words and sentences, and be able to converse basic dialogues comfortably in the target language. Oral drills and speaking activities will be done in the classroom, and the class will be conducted primarily in Arabic."
"Abo Rabia,Hazza",.MTWR.. 11:00AM-11:50AM;,FISK314;,18,0,0,9,NA,5,4,6,3,FALSE,01,ARAB201,Fall2015,HA LANG,Graded,ARAB101 AND ARAB102,None,Intermediate Arabic I,FALSE,"This course is a second-year, lower intermediate course in modern standard Arabic (MSA) that will continue to focus on the four basic skills of reading, writing, speaking, and listening. In this level, students will be able to speak enough Arabic to communicate at a basic level with a native speaker on a variety of topics. Students should be able to write simple texts on everyday themes and read uncomplicated authentic texts, such as a newspaper article on a familiar topic and storybooks. Students will continue to be familiarized with aspects of contemporary life and culture in the Arab world. The class will focus on speaking as an effective way of learning (speak it to learn it). Oral drills and speaking activities will be done in the classroom, and the class will be conducted primarily in Arabic."
"Aissa,Abderrahman",.MTWRF. 09:00AM-09:50AM;,FISK404;,18,0,0,1,NA,0,0,9,9,FALSE,01,ARAB102,Spring2016,HA LANG,Graded,ARAB101,None,Elementary Arabic II,FALSE,"This course is a second-semester course in modern standard Arabic (MSA) that will continue to stress the basic skills of reading, writing, speaking, and listening. The course will focus on speaking as an effective way of learning (speak it to learn it). Students will continue to learn MSA grammar, write and create paragraphs, and begin to converse comfortably in the target language. Students are expected to develop better listening, speaking, reading, and writing skills in Arabic and to become familiar with Arabic culture. Oral drills and speaking activities will be done in the classroom, and the class will be conducted primarily in Arabic."
"Aissa,Abderrahman",.MTWR.. 11:00AM-11:50AM;,FISK314;,18,0,0,12,NA,0,6,10,2,FALSE,01,ARAB202,Spring2016,HA LANG,Graded,ARAB101 AND (ARAB102 OR ARAB201),(ARHA),Intermediate Arabic II,FALSE,"This course is a second-year, upper intermediate course in modern standard Arabic (MSA) that will continue to focus on the four basic skills of reading, writing, speaking, and listening. In this level, students will be able to speak Arabic comfortably enough to communicate with a native speaker on a variety of topics. Students should be able to write simple texts on everyday themes and read uncomplicated authentic texts on familiar or concrete topics, as well as newspaper articles and storybooks. Culture will continue to be integrated in the classroom. The class will focus on speaking as an effective way of learning (speak it to learn it). The class will be conducted primarily in Arabic."
"Aissa,Abderrahman",.M.W.F. 12:30PM-01:20PM;,FISK412;,15,0,0,12,NA,4,4,4,3,FALSE,01,ARAB301,Spring2016,HA LANG,Graded,None,None,Advanced Arabic I,FALSE,"This first semester of third-year Arabic will continue to emphasize the four skills in language learning. In addition to the use of AL KITAAB III and Kalila Wa Dimna fables, students will also read children's stories from the Arab world."
"Aksamija,Nadja    Kuenzli,Katherine M.",.M.W... 11:00AM-12:20PM;,WYL112;,44,4,4,3,NA,6,5,13,12,FALSE,01,ARHA110,Fall2015,HA ART,Graded,None,(ARHA-MN)(ARHA),Introduction to Western Art: Renaissance to Modern,FALSE,"This course surveys the development of Western art from the Renaissance through the modern period. We will examine art's changing status within specific social and artistic contexts: from the Church and court of the Renaissance, through the formation of art academies in late 16th century, to the development of an increasingly individualized artistic practice that led to the formation of an avant-garde. Classes will be organized chronologically and touch upon the following themes and ideas: politics, religion, and patronage; perception and experience; artistic identity and originality; relationships between artistic media; and gender and sexuality."
"Sena,Yunchiahn Chen",..T.R.. 10:30AM-11:50AM;,WYL113;,15,NA,NA,9,NA,NA,NA,NA,15,FALSE,01,ARHA182,Fall2015,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARST)(CEAS-MN)(CEAS)(CEAS-Arha/Art),Understanding the Arts of Imperial China: Content and Methods,TRUE,"With its long history and diverse culture, Imperial China was known for its rich and complex traditions in art. From the magnificent terracotta warriors and splendid court paintings, to delicate blue-and-white porcelain, these artworks not only testify to the complexity of the society that produced them, they also suggest visual principles and ideological premises by which they can be understood. This course offers an introduction to the important roles that art played in the society of Imperial China, and discusses their visual principles and ideological premises so we can comprehend the artworks themselves. By examining three large groups of artworks from Imperial China that is, ritual objects and monuments from the early periods, courtly paintings and calligraphy from the middle periods, and commercial goods of factory art from the late imperial periods, we will look at the relationship of form and content, the materiality of artworks, questions of the artist's agency, and the context in which artworks were produced, transmitted, and consumed. The goal of this course is to encourage interest in the arts and culture of Imperial China as well as basic issues in the field of art history."
"Maines,Clark",..T.R.. 09:00AM-10:20AM;,WYL112;,40,NA,NA,16,NA,NA,NA,17,23,FALSE,01,ARCP204,Fall2015,SBS ARCP,Graded,None,(ANTH)(ARCP-MN)(ARCP)(ARHA-MN)(ARHA)(ARST)(CCIV)(CLAS),Approaches to Archaeology,TRUE,"Archaeology is the study of the past through its material remains. This course will introduce students to a range of approaches that archaeologists use to interrogate material culture (artifacts and other physical remains) and, in some cases, written records, to present interpretive reconstructions of past human history, societies, cultures, and practices. The course includes archaeological approaches to prehistoric cultures through to ancient, medieval, and early modern societies."
"Maines,Clark",..T.R.. 01:10PM-02:30PM;,WYL113;,19,3,3,9,NA,3,3,7,NA,FALSE,01,ARHA215,Fall2015,HA ART,Graded,None,(ARCP-MN)(ARCP)(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST)(MDST-MN)(MDST)(MDST-Art/Arch)(MDST-History)(MDST-Lang/Lit)(MDST-Phil/Reli),"The Art and Archaeology of Anglo-Saxon England, 400-1100",TRUE,"This course will consider the art, architecture, and archaeology of the British Isles from the withdrawal of the Roman legions in the 5th century to the end of the reign of Henry II in the 12th century. It will draw on material from church history to help understand the transition from paganism to Christianity and the struggle between Celtic and Roman Catholicism. It will draw on material from history and archaeology to help understand the complex relations between the waves of invading Saxons and the native English in the early medieval period, the Vikings in the late ninth and tenth centuries and the Norman invasion in 1066. Finally, it will focus on the development of towns and on the place and role of both royal commissions and parish architecture in the life of those towns."
"Birney,Kate",..T.R.. 01:10PM-02:30PM;,DWNY113;,40,3,3,2,NA,7,7,10,10,FALSE,01,CCIV244,Fall2015,HA CLAS,Graded,None,(ARCP-MN)(ARCP)(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST)(CCIV),Pyramids and Funeral Pyres: Death and the Afterlife in Greece and Egypt,TRUE,"This course explores the archaeology of death and burial in Egypt and Greece, from the royal burials in the pyramids at Giza, to the cremated remains of warriors in Lefkandi, Greece, to the humble burials of infants under house floors. Drawing upon a blend of archaeological, art historical, and mythological evidence, we'll examine how the funerary practices and the very notions of the soul, the body, and the afterlife compare in these two societies. We will also explore how social class, gender, and ethnicity influenced those ideas. The course will also provide an introduction to archaeological theory and the interpretive strategies employed by archaeologists, art historians, and historians in the reconstruction of ancient societies."
"Aksamija,Nadja",.M.W... 01:10PM-02:30PM;,WYL112;,35,4,4,1,NA,3,3,10,11,FALSE,01,ARHA224,Fall2015,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST),Italian Art and Architecture of the 16th Century,FALSE,"In addition to key monuments of 16th-century Italian art and architecture, this course seeks to introduce students to some of the most important figures of the period: artists and architects--such as Leonardo, Raphael, Bronzino, Michelangelo, Titian, and Palladio; their princely and ecclesiastical patrons--such as Cosimo I de' Medici and Julius II; and their critics and biographers--such as Dolce and Vasari. Our aim will be to understand the complex artistic and architectural landscape of the period against the backdrop of shifting intellectual and religious trends, such as the Counter-Reformation. Class discussions will be based on close readings of primary sources and scholarly texts on a wide range of topics."
"Newman,Sarah Elizabeth",..T.R.. 02:40PM-04:00PM;,FISK302;,30,3,5,22,NA,3,9,10,0,FALSE,01,ANTH227,Fall2015,SBS ANTH,Graded,None,(ARCP-MN)(ARCP)(ARHA-MN)(ARHA),The Pre-Columbian World: 100 Objects,TRUE,"From cities of gold and frightful gods to apocalyptic calendars and ritual human sacrifice, the ancient Americas are both sensational and sensationalized. This course delves deeper into the Pre-Columbian world by examining 100 objects made and left behind by indigenous Americans. We will explore cultures and histories in North, Central, and South America from the peopling of the New World over 10,000 years ago to the arrival of Europeans at the end of the fifteenth century. Organizational themes include: the domestication of plants and animals, notions of rulership and authority, modes of communication, and religious ideologies."
"Kuenzli,Katherine M.",.M.W... 02:40PM-04:00PM;,WYL112;,40,5,5,16,NA,6,6,12,6,FALSE,01,ARHA241,Fall2015,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST)(FRST-MN)(FRST)(GRST-MN)(GRST)(RMST),"Introduction to European Avant-Garde, 1880-1940",TRUE,"In the years building up to and directly following World War I, artists, philosophers, and politicians called into question art's role, proposing both new relationships to society as well as path-breaking formal vocabularies that approached, and at times crossed, the threshold of abstraction. This deep uncertainty regarding art's relationship to society coincided with an era of unprecedented formal innovation. Artists struggled to define the costs and benefits of abstraction versus figuration, moving abruptly, even violently, between the two idioms. The extremism of artistic solutions speaks to a fundamental instability, if not outright crisis, in European art, society, and politics. This course will introduce students to the major avant-garde art movements from the first half of the 20th century as they took root in France, Germany, Italy, Holland, and Russia. Our focus will be on painting, but we will also look at attempts to go beyond painting in an attempt to gain greater immediacy or social relevance for art. Topics that will receive special emphasis include the relationship between abstraction and figuration, the impact of primitivism and contact with non-Western arts, modernism's relationship to mass culture, modernism and classicism, war and revolution, gender and representation, art and dictatorship, and the utopian impulse to have the arts redesign society as a whole."
"Grace,Claire",..T.R.. 02:40PM-04:00PM;,WYL112;,30,6,6,10,NA,4,4,6,4,FALSE,01,ARHA251,Fall2015,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST),Artists Design Exhibitions,FALSE,"The exhibition form holds promise as an occasion for what art historian Thomas Crow describes, in reference to the Salon of eighteenth-century revolutionary France, as ""manifestations of antagonism."" The exhibition is or can be a site of the public sphere, of collective encounter, debate, and opposition. The continued interest of this history for contemporary art is clear in the work of a variety of artists that approach the exhibition as an aesthetic form in its own right (from the Rosario Group to Julie Ault to Mark Leckey). Focusing on key works since the 1960s, with an eye to historical examples (Marcel Duchamp, El Lissitzky, etc.), this course situates the exhibition form relative to installation art, institutional critique, and the implications for class and the production of value of a new ""curatorial condition"" in the larger culture (where data specialists now curate information, an artisan cheese shop curates its merchandise, and anyone with a social media account curates a presentation of self)."
"Grace,Claire",..T.R.. 10:30AM-11:50AM;,WYL112;,35,9,8,-3,NA,2,2,7,7,FALSE,01,ARHA253,Fall2015,HA ART,Graded,None,(AMST)(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST),Art After 1945,TRUE,"Focusing on the United States with lines cast to Europe, South America, and elsewhere, this course examines artistic production between 1945 and 1980. Artists in this period attempted to respond to the ""caesura of civilization"" brought about by the Holocaust and World War II, to contend with the consolidation of postwar consumer capitalism and mass culture, and to situate their work in relation to the far-reaching social upheavals of the 1960s and '70s. Practices linked to the early 20th-century avant-garde (such as abstraction, the readymade, Dada, and surrealism) echoed in these years as attention gradually shifted away from the canvas and studio and toward expanded contexts of reception and public experience. The boundaries of the art object transformed in turn as artists developed new forms and new models of spectatorship to confront a world that had placed enormous pressure on traditional concepts of humanist subjectivity. Topics include New York School painting, Pop art, minimalism, process art, conceptual art, institutional critique, and site-specificity."
"Tucker,Jennifer",..T.R.. 02:40PM-04:00PM;,ALLB103;,30,4,8,5,NA,0,2,8,8,FALSE,01,HIST262,Fall2015,SBS HIST,Graded,None,(ARHA-MN)(ARHA)(ENVS)(HIST-MN)(SISP)(SISP-ScieDblMjr),Seeing a Bigger Picture: Integrating Environmental History and Visual Studies,TRUE,"This interdisciplinary course approaches the history of environmental policy and opinion making through a frame that takes seriously the rise in power accorded to visual imagery and visual practices (including photography, digital image production, film and new media) in modern society. The course introduces students to key landmarks in the visual history of environmentalism spanning a time period from colonial America to the recent past, focusing both on images of nature and on the nature of images."
